DATETIME,DATE,TIME_CODE,DA_SELL_V,DA_BUY_V,DA_TOTAL_V,DA_SYSTEM_PRICE,DA_KS,TIME,IM_KS,IMV_KS,PRECIPITATION,RADIATION,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,GAS_USD,USD_JPY,GAS_JPY,DAY_OF_WEEK,DAY_TYPE,PEAK_OFFPEAK,DAY_TYPE_CODE,PEAK_OFFPEAK_CODE,y,lag_336,roll_mean_48
2022-03-01 00:00:00,3/1/2022,1,18637900,21560850,17296550,18.5,19.0,0:00:00,17.62,-72507,0.0,0.0,8.8,292.5,1.7,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.0,19.0,24.010833333333334
2022-03-01 00:30:00,3/1/2022,2,19796900,21783950,17264850,18.5,19.0,0:30:00,12.04,-121384,0.0,0.0,8.8,292.5,1.7,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.0,19.0,24.010833333333334
2022-03-01 01:00:00,3/1/2022,3,20632900,22168450,17324100,18.5,19.0,1:00:00,16.46,188878,0.0,0.0,8.2,0.0,1.4,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.0,19.0,24.010833333333334
2022-03-01 01:30:00,3/1/2022,4,20682750,22422700,17355700,18.5,19.0,1:30:00,16.54,145701,0.0,0.0,8.2,0.0,1.4,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.0,19.0,24.010833333333334
2022-03-01 02:00:00,3/1/2022,5,20650700,22665350,17391350,18.56,19.0,2:00:00,16.44,109967,0.0,0.0,7.5,0.0,2.1,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.0,19.0,24.010833333333334
2022-03-01 02:30:00,3/1/2022,6,20538050,22674300,17537850,19.5,19.58,2:30:00,17.04,67805,0.0,0.0,7.5,0.0,2.1,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.58,19.0,24.010833333333334
2022-03-01 03:00:00,3/1/2022,7,20540400,22709900,17608900,20.32,20.32,3:00:00,13.86,-144102,0.0,0.0,7.0,315.0,2.0,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,20.32,19.0,24.010833333333334
2022-03-01 03:30:00,3/1/2022,8,20570950,22799000,17536400,19.8,19.58,3:30:00,16.44,-131519,0.0,0.0,7.0,315.0,2.0,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.58,19.0,24.010833333333334
2022-03-01 04:00:00,3/1/2022,9,20436200,22932450,17579550,22.04,22.04,4:00:00,16.63,215522,0.0,0.0,6.0,315.0,1.3,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,22.04,19.0,24.010833333333334
2022-03-01 04:30:00,3/1/2022,10,20194150,23227700,17488550,23.0,22.25,4:30:00,17.1,116190,0.0,0.0,6.0,315.0,1.3,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,22.25,19.0,24.010833333333334
2022-03-01 05:00:00,3/1/2022,11,19553850,23433150,17547200,23.99,23.71,5:00:00,16.41,429034,0.0,0.0,6.1,337.5,1.1,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,23.71,19.0,24.010833333333334
2022-03-01 05:30:00,3/1/2022,12,19049600,23719600,17549100,24.07,24.07,5:30:00,17.4,71605,0.0,0.0,6.1,337.5,1.1,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,24.07,19.0,24.010833333333334
2022-03-01 06:00:00,3/1/2022,13,18770100,24258650,17703300,24.81,24.81,6:00:00,18.16,381336,0.0,0.0,5.4,337.5,1.5,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,24.81,19.0,24.010833333333334
2022-03-01 06:30:00,3/1/2022,14,18705700,25153150,18382400,30.0,30.0,6:30:00,22.14,264941,0.0,0.0,5.4,337.5,1.5,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,30.0,19.0,24.010833333333334
2022-03-01 07:00:00,3/1/2022,15,19270150,25571350,18968450,30.0,27.55,7:00:00,15.9,-84161,0.0,0.1,5.9,337.5,2.4,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,27.55,19.0,24.010833333333334
2022-03-01 07:30:00,3/1/2022,16,19945450,26031100,19467650,27.55,27.55,7:30:00,15.1,-123658,0.0,0.1,5.9,337.5,2.4,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,27.55,19.0,24.010833333333334
2022-03-01 08:00:00,3/1/2022,17,21321250,27015550,20218400,25.05,27.25,8:00:00,22.66,-260871,0.0,0.58,7.2,0.0,0.7,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,27.25,19.0,24.010833333333334
2022-03-01 08:30:00,3/1/2022,18,21941750,27886050,20819500,26.0,40.35,8:30:00,24.76,-675278,0.0,0.58,7.2,0.0,0.7,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,40.35,19.0,24.010833333333334
2022-03-01 09:00:00,3/1/2022,19,22634350,28056150,20953400,24.63,37.72,9:00:00,32.42,-1806617,0.0,1.33,9.4,270.0,2.5,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,37.72,19.0,24.010833333333334
2022-03-01 09:30:00,3/1/2022,20,23631000,27924250,20856100,23.04,27.25,9:30:00,27.2,-2980254,0.0,1.33,9.4,270.0,2.5,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,27.25,19.0,24.010833333333334
2022-03-01 10:00:00,3/1/2022,21,24786750,27663500,21115850,22.44,26.0,10:00:00,29.24,-2901734,0.0,1.76,10.7,0.0,1.0,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,26.0,19.0,24.010833333333334
2022-03-01 10:30:00,3/1/2022,22,25749900,27843800,21199550,19.91,19.88,10:30:00,29.24,-3085121,0.0,1.76,10.7,0.0,1.0,31.5,115.28,3631.32,Tuesday,Weekday,offpeak,1,0,19.88,19.0,24.010833333333334
